Date,,Berri1,Boyer,Brébeuf,CSC (Côte Sainte-Catherine),Maisonneuve_1,Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,Parc U-Zelt Test,PierDup,Pont_Jacques_Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Laurent U-Zelt Test,Saint-Urbain,Totem_Laurier,University,Viger
01/01/2015,00:00,58,12,4,17,33,49,21,16,16,,7,,58,91,24,3,,17,78,21,6
02/01/2015,00:00,75,7,5,15,30,113,27,9,32,,11,,109,177,32,13,,11,57,77,4
03/01/2015,00:00,79,7,3,7,30,107,36,12,18,,2,,71,131,33,5,,14,174,40,5
04/01/2015,00:00,10,1,21,0,10,35,29,1,0,,0,,6,11,6,1,,1,20,6,0
05/01/2015,00:00,42,0,2,0,27,90,21,1,1,,6,,0,5,49,20,,0,41,56,10
06/01/2015,00:00,101,0,1,1,62,153,38,3,22,,1,,1,12,64,23,,29,121,91,5
07/01/2015,00:00,121,15,5,3,38,144,35,1,43,,0,,11,24,40,3,,5,120,63,4
08/01/2015,00:00,70,0,36,0,39,139,36,4,55,,0,,38,67,21,7,,1,83,78,2
09/01/2015,00:00,88,3,5,0,55,135,26,12,46,,1,,26,63,14,10,,1,166,79,1
10/01/2015,00:00,29,7,6,0,24,70,17,3,20,,0,,15,29,0,7,,0,32,41,1
11/01/2015,00:00,66,4,2,4,16,89,27,3,15,,0,,20,27,11,5,,0,38,32,2
12/01/2015,00:00,183,4,4,16,86,323,62,7,62,,0,,17,99,63,22,,0,84,157,15
13/01/2015,00:00,183,2,9,17,75,250,41,9,77,,7,,10,115,15,26,,0,72,137,20
14/01/2015,00:00,183,2,6,33,84,276,48,16,81,,3,,7,166,19,39,,0,98,153,11
15/01/2015,00:00,183,1,7,32,86,297,52,17,59,,0,,9,198,28,25,,0,62,189,8
16/01/2015,00:00,177,5,2,7,108,280,50,14,62,,4,,15,199,28,23,,0,92,133,8
17/01/2015,00:00,48,2,0,0,46,75,22,3,10,,0,,1,83,5,9,,0,36,24,0
18/01/2015,00:00,84,1,4,2,52,108,34,6,17,,1,,2,127,22,16,,0,30,46,5
19/01/2015,00:00,256,1,1,14,130,321,65,6,55,,0,,15,245,86,37,,0,167,178,11
20/01/2015,00:00,262,3,6,20,134,302,47,21,58,,3,,76,243,70,32,,0,201,164,23
21/01/2015,00:00,242,2,4,36,154,328,41,13,70,,4,,117,280,64,32,,2,221,188,32
22/01/2015,00:00,278,17,5,52,185,382,52,35,63,,3,,137,313,103,49,,1,221,245,43
23/01/2015,00:00,307,8,7,45,196,355,50,22,62,,2,,135,332,123,56,,0,179,206,26
24/01/2015,00:00,163,1,5,14,104,170,33,6,14,,5,,124,200,40,15,,0,136,82,13
25/01/2015,00:00,81,0,1,6,61,95,17,7,11,,0,,65,157,34,8,,0,133,50,16
26/01/2015,00:00,234,3,6,36,157,340,32,24,50,,2,,116,310,108,47,,2,258,194,44
27/01/2015,00:00,276,1,2,51,165,320,57,20,64,,1,,135,276,99,46,,3,263,205,43
28/01/2015,00:00,335,0,12,51,178,384,60,16,45,,0,,118,338,106,49,,10,244,210,36
29/01/2015,00:00,327,10,38,65,207,437,66,19,48,,3,,156,386,139,48,,11,245,231,34
30/01/2015,00:00,181,1,3,9,132,294,57,15,47,,1,,99,233,98,23,,7,155,145,11
31/01/2015,00:00,65,3,0,2,35,95,20,8,5,,1,,57,115,16,8,,3,141,38,3
01/02/2015,00:00,54,2,2,6,32,67,18,13,13,,1,,49,127,17,5,,6,124,27,3
02/02/2015,00:00,127,0,53,10,70,182,48,12,43,,0,,57,144,39,4,,6,529,94,12
03/02/2015,00:00,203,0,45,26,93,273,63,10,46,,0,,65,190,33,16,,6,550,145,10
04/02/2015,00:00,263,1,18,12,88,288,57,14,60,,1,,88,231,33,9,,23,308,144,10
05/02/2015,00:00,236,0,85,4,138,280,44,12,32,,3,,140,293,62,33,,19,246,162,13
06/02/2015,00:00,193,1,36,8,114,261,57,24,36,,0,,82,251,67,17,,15,358,157,15
07/02/2015,00:00,79,3,1,1,48,106,18,2,14,,0,,43,104,26,10,,8,118,54,4
08/02/2015,00:00,36,3,0,0,10,57,11,2,5,,0,,19,51,9,0,,2,299,24,1
09/02/2015,00:00,120,3,13,0,63,205,52,0,40,,0,,52,174,54,4,,2,273,134,5
10/02/2015,00:00,260,2,8,0,156,333,58,0,42,,0,,117,234,95,42,,0,454,183,47
11/02/2015,00:00,300,0,7,0,166,350,73,0,64,,3,,134,248,105,28,,0,343,194,24
12/02/2015,00:00,226,15,16,1,94,289,48,0,48,,0,,112,210,86,18,,8,275,158,14
13/02/2015,00:00,163,3,37,3,96,218,36,13,42,,0,,47,159,79,12,,68,213,129,8
14/02/2015,00:00,53,0,13,1,33,79,12,5,5,,0,,20,92,16,2,,24,78,28,4
15/02/2015,00:00,68,0,5,0,34,103,19,2,6,,2,,41,505,19,3,,11,48,29,7
16/02/2015,00:00,193,0,11,11,103,231,47,13,45,,0,,62,211,82,32,,39,132,119,24
17/02/2015,00:00,250,0,43,29,117,270,63,14,55,,0,,92,251,91,34,,76,133,175,28
18/02/2015,00:00,261,0,19,30,169,322,71,18,45,,3,,126,255,105,24,,85,214,211,31
19/02/2015,00:00,224,0,12,8,69,236,57,11,38,,1,,59,215,86,0,,12,225,146,14
20/02/2015,00:00,137,0,10,0,65,181,34,6,30,,0,,17,91,30,3,,2,124,96,15
21/02/2015,00:00,59,0,10,0,43,89,17,2,2,,3,,23,55,4,4,,16,91,46,6
22/02/2015,00:00,94,0,0,0,52,84,8,0,0,,0,,23,63,22,3,,10,126,25,3
23/02/2015,00:00,170,0,0,0,112,238,42,0,0,,0,,57,221,51,29,,0,107,130,4
24/02/2015,00:00,241,0,7,0,105,247,56,3,0,,0,,62,255,75,40,,2,190,192,8
25/02/2015,00:00,252,0,20,1,136,301,62,2,0,,0,,84,61,104,40,,3,196,196,30
26/02/2015,00:00,250,0,4,12,130,261,62,4,0,,0,,78,25,90,39,,5,223,168,24
27/02/2015,00:00,248,0,5,1,162,249,65,14,0,,0,,86,149,99,43,,4,242,140,24
28/02/2015,00:00,119,0,2,0,80,119,44,3,0,,0,,69,144,19,10,,6,150,56,6
01/03/2015,00:00,96,0,0,1,65,110,22,7,0,,0,,56,144,27,8,,6,151,53,9
02/03/2015,00:00,222,0,4,16,133,318,51,9,1,,0,,102,228,111,41,,18,180,157,24
03/03/2015,00:00,274,0,6,29,61,350,61,12,0,,0,,106,244,111,47,,18,190,187,27
04/03/2015,00:00,247,0,31,0,,317,57,7,1,,0,,139,285,102,21,,5,137,143,24
05/03/2015,00:00,281,0,63,0,,343,68,14,29,,0,,120,328,117,52,,37,217,192,35
